2026/07/08 03:14:10 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/08 03:14:10 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/08 03:14:10 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/08 03:14:10 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/08 03:14:10 WARNING: POCKET_LLM_API_KEY not set; /api/llm/chat disabled
2026/07/08 03:14:10 INFO: POCKET_KXMEMORY_BASE_URL not set; AI classification/SSOT disabled
2026/07/08 03:14:10 Using static NPS adapter (demo mode)
2026/07/08 03:14:10 Using OpenCode HTTP adapter (timeout: 5000ms)
2026/07/08 03:14:10 ✅ 启动 OpenCode 实例自动发现（间隔: 1m0s）
2026/07/08 03:14:10 [PluginHub] Starting...
2026/07/08 03:14:10 OpenCode domain managers wired: eventMgr + permMgr + quesMgr + ocMgr (refreshStatus 30s)
2026/07/08 03:14:10 [tasksync] disabled (mcpClient or taskStore not configured)
2026/07/08 03:14:10 pocketd listening on :8088
2026/07/08 03:14:21 Plugin connection: mac-main
2026/07/08 03:14:21 [PluginHub] Plugin registered: mac-main (mac-main)
2026/07/08 03:14:21 [PluginConnection] Instance mac-main sent register
2026/07/08 03:14:21 ✅ 边端注册实例: MacBook Pro (ZCode v1.2) (mac-main) origin=registered
2026/07/08 03:14:24 [PluginConnection] Heartbeat from mac-main
2026/07/08 03:14:26 [PluginHub] Plugin unregistered: mac-main
2026/07/08 04:25:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:26:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:27:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:28:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:29:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:30:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:31:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:32:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:33:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:34:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:35:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:36:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:37:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:38:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:39:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:40:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:41:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:42:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:43:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:44:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:45:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:46:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:47:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:48:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:49:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:50:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:51:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:52:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:53:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:54:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:55:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:56:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:57:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:58:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 04:59:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:00:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:01:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:02:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:03:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:04:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:05:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:06:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:07:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:08:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:09:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:10:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:11:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:12:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:13:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:14:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:15:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:16:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:17:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:18:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:19:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:20:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:21:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:22:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:23:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:24:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:25:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:26:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:27:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:28:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:29:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:30:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:31:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:32:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:33:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:34:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:35:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:36:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:37:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:38:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:39:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:40:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:41:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:42:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:43:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:44:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:45:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:46:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:47:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:48:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:49:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:50:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:51:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:52:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:53:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:54:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:55:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:56:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:57:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:58:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 05:59:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:00:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:01:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:02:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:03:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:04:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:05:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:06:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:07:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:08:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:09:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:10:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:11:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:12:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:13:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:14:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:15:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:16:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:17:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:18:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:19:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 06:20:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
